id,DeviceId,BandNameSync,BandNumber,StartTicks,EndTicks,StartLatitude,StartLongitude,EndLatitude,EndLongitude,Distance,StartValue,EndValue,MaxValue,MaxIntegralValue
0,9999,30,2,150498554949,150498555476,-87.5509153,33.207265899999996,-87.5506844,33.2073074,25.662002563476562,2.445500135421753,2.445500135421753,3.4805002212524414,0
0,9999,30,2,150498563940,150498563989,-87.5506833,33.207178999999996,-87.5506843,33.2071699,1.0329971313476563,2.4565000534057617,2.2905001640319824,2.561500072479248,0
0,9999,30,2,150498565879,150498567520,-87.5506901,33.207259199999996,-87.5507255,33.2076731,47.25499725341797,2.3615000247955322,2.3935000896453857,3.117500066757202,0
0,9999,30,2,150498574550,150498574999,-87.5506319,33.2078969,-87.5505086,33.2079091,11.865005493164063,2.244500160217285,2.2864999771118164,2.7985000610351563,0
0,9999,30,7,150498580609,150498581190,-87.5505634,33.2076736,-87.550761,33.2072674,49.811004638671875,7.156500339508057,7.30850076675415,9.031499862670898,0
0,9999,30,6,150498580429,150498581209,-87.5504942,33.2077545,-87.5507647,33.2072585,63.282012939453125,6.3615007400512695,6.454500675201416,9.031499862670898,0
0,9999,30,5,150498580390,150498581219,-87.5504665,33.207759599999996,-87.5507652,33.2072566,66.160003662109375,5.559500694274902,5.635500431060791,9.031499862670898,0
0,9999,30,4,150498580359,150498581239,-87.5504464,33.2077622,-87.5507657,33.2072508,68.70899963378906,4.4745001792907715,4.59350061416626,9.031499862670898,0
0,9999,30,3,150498580339,150498581269,-87.55043599999999,33.2077631,-87.5507659,33.207243,70.56300354003906,3.9045002460479736,3.626500129699707,9.031499862670898,0
0,9999,30,2,150498580309,150498581339,-87.5504206,33.207764399999995,-87.55076299999999,33.207228199999996,73.82200622558594,2.5485000610351562,2.4195001125335693,9.031499862670898,0
