Reference time: 04/16/19 06:14:52 UTC,,,,,,,,,,,,,,,,,,,,,,,,,
CentisecTime: 155539529240,,,,,,,,,,,,,,,,,,,,,,,,,
DeviceID: 71, DeviceFamily: S6, OFVersion: 2.1.0.999, FirmwareVersion: 1.01,,,,,,,,,,,,,,,,,,,,,,
Acceleration.forward,Acceleration.side,Acceleration.up,Rotation.roll,Rotation.pitch,Rotation.yaw,RawPlayerLoad,SmoothedPlayerLoad,imuAcceleration.forward,imuAcceleration.side,imuAcceleration.up,imuOrientation.forward,imuOrientation.side,imuOrientation.up,Facing,Latitude,Longitude,Odometer,RawVelocity,SmoothedVelocity,GNSS.LPS.Acceleration,MetabolicPower,GNSS.Fix,GNSS.Strength,GNSS.HDOP,HeartRate
1.43022,-0.264264,-0.779724,-14.762,-41.724,-66.124,0.181641,1.54955,0.0223852,0.406736,-2.59919,0.827815,0.394552,0.398813,87.1154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1.57058,-0.286044,-0.865392,-49.288,8.052,-99.979,0.15918,1.54851,0.0067206,0.43626,-2.76269,0.832463,0.384492,0.398963,87.0487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1.64608,-0.247324,-0.966064,-65.819,56.547,-106.384,0.128418,1.54714,-0.0512025,0.516015,-2.85342,0.838604,0.377154,0.393062,76.5032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1.72449,-0.270556,-1.12578,-61.976,106.201,-88.572,0.149902,1.54547,-0.199437,0.569627,-2.98751,0.84961,0.371026,0.374837,66.7392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1.75837,-0.310728,-1.22597,-42.029,134.993,-52.155,0.127441,1.54353,-0.339514,0.59031,-3.05614,0.861481,0.370005,0.347774,56.6653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1.66786,-0.375584,-1.24969,-10.065,140.056,-11.041,0.0810547,1.54138,-0.478851,0.543901,-2.98983,0.872107,0.373543,0.316061,47.3831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1.46846,-0.325248,-1.17902,33.611,132.248,38.186,0.11377,1.53908,-0.534805,0.553544,-2.74923,0.878152,0.385228,0.283634,39.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1.3673,-0.249744,-1.15482,73.444,121.756,76.677,0.116211,1.5367,-0.56572,0.645999,-2.59001,0.878953,0.407299,0.248091,41.6463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1.31358,-0.194084,-1.12869,104.432,112.484,108.275,0.0947266,1.5343,-0.561015,0.750495,-2.46939,0.873107,0.439946,0.210077,42.9251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1.28696,-0.106964,-1.12336,119.987,113.216,130.296,0.0864258,1.53193,-0.546755,0.895385,-2.3524,0.86501,0.472835,0.167885,42.6567,-37.8508818,144.9884847,363.364,0.3115,1.02535,0.930177,0,12,0,0.86,0
1.23856,-0.011616,-1.14611,120.719,124.013,146.705,0.0966797,1.52962,-0.549434,1.04877,-2.20247,0.85375,0.506326,0.121427,29.9927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1.08222,0.050336,-1.21048,112.545,146.034,152.622,0.133301,1.52738,-0.624898,1.14753,-1.96524,0.839195,0.539365,0.0695524,17.5983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0.845548,0.100672,-1.28212,103.151,181.17,146.766,0.192871,1.52523,-0.724442,1.19156,-1.65137,0.821167,0.570577,0.0112887,7.06378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0.541112,0.164076,-1.39102,95.404,227.347,131.028,0.26416,1.52319,-0.860718,1.20269,-1.25952,0.802263,0.594395,-0.0554006,-2.79156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0.3025,0.242484,-1.50476,95.038,267.241,106.323,0.269531,1.52127,-0.951374,1.22402,-0.893933,0.780855,0.611257,-0.128962,-11.5198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
